arch,encoder,n_runs,dice_myelin_mean,dice_myelin_sd,dice_axon_mean,dice_axon_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,composite_score
unet++,densenet169,240,0.7368,0.0672,0.8245,0.0622,16.2139,7.9204,0.7457
unet++,resnet50,240,0.7353,0.0639,0.8233,0.0583,16.1885,7.0697,0.7449
unet++,densenet121,240,0.7344,0.0668,0.8222,0.0616,16.9036,8.5408,0.7395
unet,densenet121,240,0.7289,0.072,0.8197,0.061,17.3138,8.4274,0.7341
unet++,resnet34,240,0.719,0.0737,0.813,0.0649,17.0937,7.0774,0.73
manet,densenet121,239,0.7264,0.0777,0.8178,0.0662,17.9257,10.1761,0.7286
unet,densenet169,240,0.7247,0.0768,0.8165,0.0651,17.8909,9.5108,0.7278
manet,densenet169,240,0.7249,0.0785,0.8161,0.0672,17.9917,9.2015,0.727
manet,resnet50,240,0.7198,0.0767,0.8091,0.0683,17.521,8.4554,0.7262
unet,resnet50,240,0.7236,0.0724,0.8128,0.0642,18.2852,9.5982,0.7236
manet,resnet34,240,0.7182,0.0728,0.8062,0.0673,17.8383,7.7478,0.7225
unet,resnet34,239,0.7071,0.0822,0.7947,0.0762,20.9915,11.4649,0.694
