arch,encoder,total_runs,collapsed,valid,collapse_pct,both_collapsed,myelin_only,axon_only,unstable
deeplabv3+,resnet34,150,0,150,0.0,0,0,0,False
manet,densenet121,240,1,239,0.4,1,0,0,False
manet,densenet169,240,0,240,0.0,0,0,0,False
manet,efficientnet-b3,240,114,126,47.5,114,0,0,True
manet,efficientnet-b4,240,125,115,52.1,125,0,0,True
manet,resnet34,240,0,240,0.0,0,0,0,False
manet,resnet50,240,0,240,0.0,0,0,0,False
unet++,densenet121,240,0,240,0.0,0,0,0,False
unet++,densenet169,240,0,240,0.0,0,0,0,False
unet++,efficientnet-b3,240,126,114,52.5,125,0,1,True
unet++,efficientnet-b4,240,118,122,49.2,118,0,0,True
unet++,resnet34,240,0,240,0.0,0,0,0,False
unet++,resnet50,240,0,240,0.0,0,0,0,False
unet,densenet121,240,0,240,0.0,0,0,0,False
unet,densenet169,240,0,240,0.0,0,0,0,False
unet,efficientnet-b3,240,118,122,49.2,117,0,1,True
unet,efficientnet-b4,240,111,129,46.2,111,0,0,True
unet,resnet34,240,1,239,0.4,1,0,0,False
unet,resnet50,240,0,240,0.0,0,0,0,False
